timestep,n_tumour,n_tumour_hypoxic,n_tumour_necrotic,mean_tumour_oxygen,median_tumour_oxygen,mean_tumour_radius,median_tumour_radius,n_tcells,n_tumour_damage_gt100,n_tumour_damage_gt80,n_tumour_damage_gt60,n_tumour_damage_gt40,n_tumour_damage_gt20,n_tumour_damage_gt10,n_tumour_damage_gt0,n_tcells_potency_le90,n_tcells_potency_le80,n_tcells_potency_le70,n_tcells_potency_le60,n_tcells_potency_le50,n_tcells_potency_le40,n_tcells_potency_le30,n_tcells_potency_le20,n_tcells_potency_le10
40200,3534.0,2313.0,0.0,0.17832362134477844,0.14643403446326053,0.36479915768545185,0.36305448293269627,957.0,1529.0,1840.0,1979.0,2555.0,2639.0,2668.0,2782.0,358.0,248.0,173.0,115.0,81.0,45.0,28.0,20.0,9.0
40800,3614.0,2307.0,0.0,0.18427633030719356,0.15145935003974237,0.3657835541514838,0.3637434398578999,1015.0,1579.0,1914.0,2046.0,2629.0,2731.0,2765.0,2887.0,390.0,263.0,183.0,120.0,84.0,50.0,30.0,20.0,9.0
41400,3637.0,2294.0,0.0,0.18929944839694687,0.15436720378622157,0.36767257744276,0.36554555957516555,1082.0,1632.0,1978.0,2110.0,2693.0,2799.0,2832.0,2946.0,411.0,286.0,197.0,124.0,86.0,52.0,31.0,20.0,9.0
42000,3659.0,2267.0,0.0,0.1931471073289191,0.15694733028774788,0.3690680791784589,0.3683162111636988,1140.0,1694.0,2069.0,2194.0,2767.0,2880.0,2909.0,3014.0,434.0,303.0,207.0,133.0,88.0,54.0,32.0,21.0,10.0
42600,3691.0,2230.0,0.0,0.19910007320995426,0.162446106709753,0.3702765000089396,0.3696824333486801,1199.0,1744.0,2139.0,2280.0,2847.0,2963.0,2986.0,3085.0,464.0,313.0,223.0,139.0,90.0,56.0,32.0,21.0,10.0
43200,3748.0,2204.0,0.0,0.2064986016576769,0.16927318911933475,0.37210535544417106,0.37136813791056966,1255.0,1817.0,2228.0,2358.0,2933.0,3054.0,3078.0,3180.0,489.0,342.0,228.0,142.0,92.0,60.0,34.0,21.0,10.0
43800,3784.0,2158.0,0.0,0.2119099095517496,0.17447639951779437,0.3737159760261717,0.3731167864217282,1329.0,1893.0,2312.0,2460.0,3024.0,3130.0,3152.0,3237.0,519.0,360.0,236.0,147.0,96.0,62.0,35.0,21.0,10.0
44400,3803.0,2080.0,0.0,0.2203812135195196,0.18351124698179067,0.3746987885240092,0.3735632574416457,1398.0,1930.0,2366.0,2502.0,3072.0,3174.0,3196.0,3277.0,558.0,371.0,250.0,152.0,98.0,63.0,35.0,21.0,10.0
45000,3804.0,2004.0,0.0,0.22745997913291052,0.1910834944803495,0.37546789079879994,0.3744523205466468,1462.0,1984.0,2448.0,2585.0,3104.0,3215.0,3239.0,3310.0,587.0,388.0,263.0,158.0,105.0,64.0,36.0,21.0,11.0
45600,3823.0,1940.0,0.0,0.23566282072576974,0.1979041245075146,0.3763299852772611,0.37609555902619834,1534.0,2014.0,2516.0,2674.0,3181.0,3276.0,3298.0,3368.0,615.0,399.0,273.0,164.0,108.0,65.0,36.0,21.0,11.0
46200,3820.0,1873.0,0.0,0.2444624538664251,0.20340017677711456,0.3784457241036281,0.3779817581456921,1592.0,2065.0,2596.0,2750.0,3255.0,3353.0,3372.0,3436.0,643.0,413.0,282.0,169.0,108.0,67.0,36.0,21.0,11.0
46800,3831.0,1752.0,0.0,0.25596153742417904,0.21487030534756682,0.3785057674765418,0.3781419375123317,1668.0,2143.0,2662.0,2803.0,3306.0,3400.0,3420.0,3486.0,675.0,430.0,287.0,173.0,109.0,69.0,36.0,21.0,11.0
47400,3801.0,1602.0,0.0,0.266725039445281,0.22430964280049262,0.3813862319944873,0.38018276503978493,1753.0,2198.0,2719.0,2859.0,3345.0,3425.0,3436.0,3491.0,712.0,442.0,298.0,176.0,115.0,69.0,36.0,21.0,11.0
48000,3775.0,1484.0,0.0,0.2779148791813946,0.23251800103546685,0.3828484753362249,0.3820798375368767,1816.0,2265.0,2807.0,2934.0,3375.0,3449.0,3460.0,3506.0,736.0,452.0,301.0,180.0,116.0,71.0,37.0,21.0,11.0
48600,3715.0,1316.0,0.0,0.29153680463838916,0.24549245803127656,0.38504198395077616,0.38414399291759826,1907.0,2340.0,2846.0,2961.0,3392.0,3448.0,3459.0,3493.0,767.0,466.0,310.0,183.0,117.0,72.0,38.0,21.0,11.0
49200,3649.0,1120.0,0.0,0.3078106529431142,0.2607171454818475,0.38606393872291556,0.38516545772493654,1976.0,2399.0,2907.0,2993.0,3360.0,3418.0,3429.0,3459.0,790.0,481.0,319.0,186.0,118.0,72.0,40.0,21.0,11.0
49800,3556.0,930.0,0.0,0.32504842626702674,0.2806640307093315,0.38661610289220205,0.3860486967337276,2062.0,2445.0,2941.0,3026.0,3328.0,3372.0,3378.0,3398.0,823.0,493.0,322.0,192.0,119.0,72.0,41.0,21.0,11.0
50400,3422.0,734.0,0.0,0.34374284715971176,0.299555622664604,0.386992040403187,0.387473262776858,2148.0,2506.0,2952.0,3022.0,3250.0,3287.0,3295.0,3309.0,861.0,512.0,333.0,198.0,119.0,74.0,41.0,21.0,11.0
51000,3277.0,597.0,0.0,0.36170744386406856,0.3206006930862008,0.38623620863039354,0.3857581562301929,2226.0,2578.0,2924.0,2987.0,3160.0,3183.0,3187.0,3194.0,894.0,526.0,339.0,202.0,119.0,74.0,41.0,21.0,11.0
51600,3103.0,445.0,0.0,0.3829279932199177,0.3457728397198963,0.3894244538978584,0.39052000950107346,2298.0,2570.0,2872.0,2915.0,3015.0,3045.0,3046.0,3050.0,917.0,533.0,343.0,206.0,120.0,75.0,41.0,21.0,11.0
52200,2911.0,336.0,0.0,0.4078009407412884,0.3730703061145636,0.3897109654693468,0.38995108763676883,2408.0,2505.0,2760.0,2807.0,2872.0,2885.0,2886.0,2887.0,941.0,540.0,345.0,208.0,121.0,76.0,42.0,21.0,11.0
52800,2651.0,240.0,0.0,0.4339609843309117,0.4018836262147914,0.3942837051458506,0.3953906628188448,2491.0,2375.0,2581.0,2604.0,2635.0,2643.0,2643.0,2643.0,954.0,545.0,346.0,209.0,121.0,76.0,42.0,21.0,11.0
53400,2409.0,187.0,0.0,0.4555943758081708,0.432945565188835,0.39618578446070657,0.40239975802017813,2589.0,2234.0,2380.0,2387.0,2399.0,2404.0,2404.0,2404.0,961.0,549.0,347.0,210.0,122.0,76.0,42.0,21.0,11.0
54000,2118.0,134.0,0.0,0.4810716815173203,0.4616371820595184,0.39903079275613207,0.4033434484145889,2681.0,1988.0,2100.0,2104.0,2113.0,2115.0,2115.0,2115.0,963.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
54600,1829.0,96.0,0.0,0.5065593402556022,0.4969456786599781,0.40420446965479756,0.4098912225611994,2764.0,1732.0,1823.0,1826.0,1827.0,1829.0,1829.0,1829.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
55200,1535.0,66.0,0.0,0.5357007684046988,0.5402473762535334,0.4094508779624313,0.41634692591239525,2838.0,1459.0,1534.0,1535.0,1535.0,1535.0,1535.0,1535.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
55800,1239.0,50.0,0.0,0.5610406240317589,0.5682287658633988,0.4170033846290767,0.4265176267238721,2926.0,1188.0,1238.0,1239.0,1239.0,1239.0,1239.0,1239.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
56400,933.0,31.0,0.0,0.5936244777404123,0.6073289804218176,0.42724085921448657,0.437583433244324,3007.0,896.0,932.0,933.0,933.0,933.0,933.0,933.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
57000,642.0,17.0,0.0,0.6337599394580322,0.6567859208808077,0.4353903812096858,0.442385001985404,3075.0,622.0,642.0,642.0,642.0,642.0,642.0,642.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
57600,439.0,11.0,0.0,0.6714530754081338,0.6982037490689501,0.4428957187416343,0.4556855724315783,3147.0,426.0,439.0,439.0,439.0,439.0,439.0,439.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
58200,278.0,7.0,0.0,0.6880707658780145,0.7217066882887412,0.4516670321343874,0.461252550659952,3229.0,270.0,278.0,278.0,278.0,278.0,278.0,278.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
58800,132.0,1.0,0.0,0.7277206419569349,0.7476332766908504,0.46454635306027825,0.4680365169295696,3308.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
59400,62.0,1.0,0.0,0.7536506177203716,0.769608020537702,0.45930949822568895,0.45723382347397057,3397.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
60000,32.0,1.0,0.0,0.777953105543826,0.8017613115618403,0.46290210538655474,0.4661098460640528,3484.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,965.0,549.0,348.0,210.0,122.0,76.0,42.0,21.0,11.0
